STAR Bfield Maps by Foley, Love, & Trentalange (gauss,cm,degrees)
Half Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
37 steps in Phi
   R      Z      Phi    Br      Bz        Bphi
  84.5 -230.0    0.0     3.22  2509.35    0.66
  99.5 -230.0    0.0    10.30  2504.28    0.64
 104.5 -230.0    0.0    11.74  2501.62    0.67
 119.5 -230.0    0.0    11.36  2491.56    0.55
 124.5 -230.0    0.0    10.20  2488.39    0.51
 139.5 -230.0    0.0     2.86  2481.09    0.48
 144.5 -230.0    0.0     0.10  2479.90    0.34
 159.5 -230.0    0.0    -9.94  2478.77    0.22
 164.5 -230.0    0.0   -12.69  2479.53    0.31
 179.5 -230.0    0.0   -21.56  2483.55    0.15
 184.5 -230.0    0.0   -24.56  2486.08    0.21
 199.5 -230.0    0.0   -31.57  2493.47    0.18
 202.0 -230.0    0.0   -32.79  2495.84    0.20
 209.5 -230.0    0.0   -35.46  2500.56    0.06
 212.0 -230.0    0.0   -36.24  2502.83    0.16
 219.5 -230.0    0.0   -39.02  2509.25    0.00
 222.0 -230.0    0.0   -39.80  2511.64    0.04
  14.5 -220.0    0.0    -5.07  2482.94   -0.00
  17.0 -220.0    0.0    -5.64  2483.98   -0.00
  24.5 -220.0    0.0    -7.89  2486.37    0.08
  27.0 -220.0    0.0    -7.89  2487.09    0.18
  34.5 -220.0    0.0    -9.27  2490.08    0.12
  37.0 -220.0    0.0    -9.27  2491.52    0.17
  44.5 -220.0    0.0    -9.12  2494.67    0.15
  47.0 -220.0    0.0    -8.62  2495.94    0.34
  59.5 -220.0    0.0    -5.95  2500.69    0.26
  64.5 -220.0    0.0    -4.57  2502.17    0.25
  79.5 -220.0    0.0     0.51  2504.39    0.29
  84.5 -220.0    0.0     2.34  2504.13    0.55
  99.5 -220.0    0.0     6.44  2500.77    0.48
 104.5 -220.0    0.0     7.22  2499.00    0.48
 119.5 -220.0    0.0     6.44  2492.78    0.36
 124.5 -220.0    0.0     5.59  2490.68    0.38
 139.5 -220.0    0.0     0.27  2486.33    0.39
 144.5 -220.0    0.0    -1.67  2485.45    0.38
 159.5 -220.0    0.0    -9.02  2485.24    0.24
 164.5 -220.0    0.0   -11.14  2485.77    0.30
 179.5 -220.0    0.0   -17.82  2489.74    0.16
 184.5 -220.0    0.0   -20.21  2491.64    0.32
 199.5 -220.0    0.0   -25.37  2498.84    0.16
 202.0 -220.0    0.0   -26.50  2500.70    0.22
 209.5 -220.0    0.0   -28.06  2505.30    0.13
 212.0 -220.0    0.0   -28.72  2507.10    0.29
 219.5 -220.0    0.0   -30.72  2513.33    0.07
 222.0 -220.0    0.0   -31.64  2515.52    0.08
  14.5 -210.0    0.0    -3.17  2488.22   -0.00
  17.0 -210.0    0.0    -3.64  2488.98   -0.00
  24.5 -210.0    0.0    -4.91  2490.42    0.08
  27.0 -210.0    0.0    -5.07  2490.98    0.10
  34.5 -210.0    0.0    -5.78  2492.72    0.06
  37.0 -210.0    0.0    -5.80  2493.82    0.12
  44.5 -210.0    0.0    -5.61  2495.62    0.10
  47.0 -210.0    0.0    -5.32  2496.44    0.21
  59.5 -210.0    0.0    -3.51  2499.50    0.21
  64.5 -210.0    0.0    -2.64  2500.38    0.23
  79.5 -210.0    0.0     0.50  2501.45    0.27
  84.5 -210.0    0.0     1.61  2501.33    0.41
  99.5 -210.0    0.0     3.82  2498.86    0.38
 104.5 -210.0    0.0     4.17  2497.82    0.38
 119.5 -210.0    0.0     3.29  2493.95    0.32
 124.5 -210.0    0.0     2.70  2492.77    0.32
 139.5 -210.0    0.0    -1.15  2490.18    0.33
 144.5 -210.0    0.0    -2.69  2489.68    0.32
 159.5 -210.0    0.0    -7.92  2490.14    0.27
 164.5 -210.0    0.0    -9.72  2490.72    0.26
 179.5 -210.0    0.0   -14.56  2494.31    0.17
 184.5 -210.0    0.0   -16.37  2496.33    0.26
 199.5 -210.0    0.0   -19.93  2502.60    0.22
 202.0 -210.0    0.0   -20.70  2504.29    0.20
 209.5 -210.0    0.0   -21.48  2508.49    0.16
 212.0 -210.0    0.0   -21.94  2510.19    0.26
 219.5 -210.0    0.0   -22.50  2516.19    0.18
 222.0 -210.0    0.0   -23.02  2518.61    0.15
  14.5 -200.0    0.0    -1.95  2491.48    0.00
  17.0 -200.0    0.0    -2.27  2492.13   -0.00
  24.5 -200.0    0.0    -3.00  2492.91    0.09
  27.0 -200.0    0.0    -3.12  2493.37    0.02
  34.5 -200.0    0.0    -3.57  2494.31    0.01
  37.0 -200.0    0.0    -3.56  2495.27    0.07
  44.5 -200.0    0.0    -3.39  2496.10    0.06
  47.0 -200.0    0.0    -3.19  2496.70    0.08
  59.5 -200.0    0.0    -2.03  2498.64    0.16
  64.5 -200.0    0.0    -1.39  2499.18    0.20
  79.5 -200.0    0.0     0.42  2499.65    0.24
  84.5 -200.0    0.0     1.17  2499.69    0.27
  99.5 -200.0    0.0     2.26  2497.87    0.29
 104.5 -200.0    0.0     2.33  2497.34    0.27
