# $Id: steel_magfieldmap.dat,v 1.1 2007/08/24 14:52:43 fisyak Exp $
# $Log: steel_magfieldmap.dat,v $
# Revision 1.1  2007/08/24 14:52:43  fisyak
# Add mag. field map in steel
#
#Magentic field map was calculated by Wuzheng Meng from CAD.
#This calculation was done in the 3D OPERA frame.
#The magnetic steel and coils were in the simulation. 
#z 0-150 cm, phi 0-12 degree,r 222-440cm.
#115 r bin from 222-440cm
#16 z bin  from 0 to 150 cm.
#25 phi bin from 0 to 12 degree. 
#Please note br(phi)=br(phi+12*N),  bphi(phi)=bphi(phi+12*N),  bz(phi)=bz(phi+12*N);
# r     z   phi    bx        bz   by
---------------------------------------------------------< start of table
263    0    0    1.22459e-09    4342.62    3.37328e-11
263    10    0    -471.411    4695.69    0.0140006
263    20    0    -335.725    5068.06    0.0133518
263    30    0    -131.579    5187.81    0.00658733
263    40    0    73.8008    5163.8    -0.000475798
263    50    0    249.056    4953.88    -0.00456781
263    60    0    -42.5079    4584.61    0.00231396
263    70    0    -391.45    4939.58    0.00967188
263    80    0    -228.143    5196.65    0.00461107
263    90    0    -28.9564    5260.19    -0.00359437
263    100    0    168.637    5191.14    -0.0107757
263    110    0    315.008    4910.05    -0.0121839
263    120    0    -101.102    4622.91    -1.50846e-05
263    130    0    -325.412    5035.23    0.0112117
263    140    0    -148.893    5235.87    0.0145546
263    150    0    49.0509    5270.06    0.0206037
264    0    0    9.9681e-16    4279.63    -2.37534e-16
264    10    0    -537.699    4693.31    0.00981372
264    20    0    -355.12    5088.7    0.01034
264    30    0    -135.433    5209.23    0.00674891
264    40    0    83.3202    5184.65    0.00236356
264    50    0    286.808    4967.84    -0.000370008
264    60    0    -39.6257    4523.95    0.00191329
264    70    0    -435.853    4950.64    0.00408657
264    80    0    -240.821    5216.9    0.000167318
264    90    0    -28.593    5280.89    -0.0059257
264    100    0    182.647    5211.07    -0.0110448
264    110    0    366.764    4915.27    -0.0120315
264    120    0    -113.717    4562.43    -0.00525844
264    130    0    -358.916    5050.7    0.00206769
264    140    0    -158.382    5256.08    0.00671746
264    150    0    51.8176    5290.53    0.0142057
265    0    0    9.75817e-16    4210.34    -1.88397e-16
265    10    0    -616.13    4705.71    0.00967433
265    20    0    -374.617    5111.5    0.0105606
265    30    0    -139.302    5231.93    0.00836215
265    40    0    92.8492    5207.13    0.00517922
265    50    0    326.202    4987.9    0.00289776
265    60    0    -36.6177    4454.64    0.00396101
265    70    0    -482.964    4969.39    0.00478331
265    80    0    -253.587    5238.83    0.00120929
265    90    0    -28.2742    5302.79    -0.00394693
265    100    0    196.736    5232.81    -0.00830039
265    110    0    424.118    4931.25    -0.00895679
265    120    0    -127.013    4492.89    -0.00363816
265    130    0    -393.459    5070.92    0.00262152
265    140    0    -167.968    5277.75    0.00767377
265    150    0    54.5027    5312.21    0.0157331
266    0    0    9.33181e-16    4134.66    -1.44947e-16
266    10    0    -694.342    4549.03    0.00943601
266    20    0    -393.992    4943.77    0.0107345
266    30    0    -143.125    5063.24    0.00978879
266    40    0    102.344    5038.54    0.00767034
266    50    0    365.469    4821.83    0.00578906
266    60    0    -33.6015    4376.49    0.00577115
266    70    0    -529.93    4804.06    0.00539809
266    80    0    -266.277    5069.73    0.00212935
266    90    0    -27.9556    5133.18    -0.0021971
266    100    0    210.715    5063.67    -0.00585342
266    110    0    481.284    4768    -0.00623217
266    120    0    -140.275    4414.03    -0.00220656
266    130    0    -427.89    4903.41    0.00310819
266    140    0    -177.504    5108.2    0.00851906
266    150    0    57.1611    5142.4    0.0170842
267    0    0    8.68903e-16    4052.72    -1.07185e-16
267    10    0    -760.019    4407.1    0.00909875
267    20    0    -413.034    4778.17    0.0108616
267    30    0    -146.882    4895.81    0.0110288
267    40    0    111.697    4871.55    0.00983691
267    50    0    402.833    4661.85    0.00830387
267    60    0    -30.7494    4289.72    0.00734374
267    70    0    -573.927    4646.4    0.0059309
267    80    0    -278.76    4902.29    0.0029275
