STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the NORMAL direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
  37.0 -210.0   -12.40  4972.19
  44.5 -210.0   -12.08  4977.11
  47.0 -210.0   -12.10  4978.54
  59.5 -210.0    -8.34  4984.53
  64.5 -210.0    -7.05  4985.95
  79.5 -210.0    -0.79  4988.65
  84.5 -210.0     0.85  4988.22
  99.5 -210.0     5.22  4983.97
 104.5 -210.0     5.52  4981.35
 119.5 -210.0     4.00  4973.95
 124.5 -210.0     2.00  4971.44
 139.5 -210.0    -5.55  4966.24
 144.5 -210.0    -9.12  4965.28
 159.5 -210.0   -19.67  4966.50
 164.5 -210.0   -23.85  4968.06
 179.5 -210.0   -33.62  4975.93
 184.5 -210.0   -37.23  4979.19
 199.5 -210.0   -44.75  4992.90
 202.0 -210.0   -46.55  4995.69
 209.5 -210.0   -48.05  5004.64
 212.0 -210.0   -49.48  5008.26
 219.5 -210.0   -49.78  5019.55
 222.0 -210.0   -51.19  5024.94
  14.5 -200.0    -4.19  4969.65
  17.0 -200.0    -4.98  4969.55
  24.5 -200.0    -6.24  4971.58
  27.0 -200.0    -6.92  4972.56
  34.5 -200.0    -7.44  4974.99
  37.0 -200.0    -7.78  4975.43
  44.5 -200.0    -7.61  4978.70
  47.0 -200.0    -7.61  4979.70
  59.5 -200.0    -5.32  4983.27
  64.5 -200.0    -4.61  4983.89
  79.5 -200.0    -0.93  4985.60
  84.5 -200.0    -0.03  4985.12
  99.5 -200.0     2.18  4982.56
 104.5 -200.0     2.15  4980.78
 119.5 -200.0     0.50  4976.54
 124.5 -200.0    -1.10  4975.00
 139.5 -200.0    -6.78  4972.49
 144.5 -200.0    -9.43  4972.06
 159.5 -200.0   -17.22  4974.29
 164.5 -200.0   -20.21  4975.80
 179.5 -200.0   -27.31  4983.23
 184.5 -200.0   -29.88  4985.99
 199.5 -200.0   -34.78  4998.00
 202.0 -200.0   -35.95  5000.26
 209.5 -200.0   -36.06  5007.85
 212.0 -200.0   -36.64  5010.72
 219.5 -200.0   -34.80  5020.10
 222.0 -200.0   -34.84  5024.61
  14.5 -190.0    -2.55  4974.08
  17.0 -190.0    -3.22  4973.89
  24.5 -190.0    -3.83  4975.21
  27.0 -190.0    -4.44  4975.90
  34.5 -190.0    -4.60  4977.45
  37.0 -190.0    -4.99  4977.55
  44.5 -190.0    -4.77  4979.75
  47.0 -190.0    -4.90  4980.37
  59.5 -190.0    -3.39  4982.54
  64.5 -190.0    -3.16  4982.81
  79.5 -190.0    -0.94  4983.91
  84.5 -190.0    -0.66  4983.63
  99.5 -190.0     0.47  4982.13
 104.5 -190.0     0.09  4981.02
 119.5 -190.0    -1.33  4978.78
 124.5 -190.0    -2.72  4978.04
 139.5 -190.0    -6.81  4977.13
 144.5 -190.0    -8.90  4977.30
 159.5 -190.0   -14.38  4980.00
 164.5 -190.0   -16.73  4981.74
 179.5 -190.0   -21.50  4988.46
 184.5 -190.0   -23.51  4991.07
 199.5 -190.0   -26.37  5000.97
 202.0 -190.0   -27.32  5002.95
 209.5 -190.0   -26.54  5008.60
 212.0 -190.0   -26.86  5010.91
 219.5 -190.0   -24.01  5016.94
 222.0 -190.0   -23.60  5020.30
  14.5 -180.0    -1.58  4976.94
