STAR Bfield Maps by Foley, Love, & Trentalange 
Full Field in the REVERSED direction: October 1998
57 steps in Z
28 steps in R
   R      Z      Br       Bz 
  27.0 -150.0     0.62 -4981.09
  34.5 -150.0     0.66 -4981.32
  37.0 -150.0     0.69 -4980.98
  44.5 -150.0     0.59 -4981.66
  47.0 -150.0     0.70 -4981.70
  59.5 -150.0     0.54 -4982.16
  64.5 -150.0     0.48 -4981.93
  79.5 -150.0     0.27 -4982.50
  84.5 -150.0     0.27 -4982.58
  99.5 -150.0     0.26 -4983.02
 104.5 -150.0     0.45 -4983.04
 119.5 -150.0     0.95 -4983.71
 124.5 -150.0     1.20 -4984.47
 139.5 -150.0     2.02 -4986.03
 144.5 -150.0     2.51 -4987.28
 159.5 -150.0     3.23 -4990.08
 164.5 -150.0     3.48 -4992.28
 179.5 -150.0     3.75 -4997.44
 184.5 -150.0     4.24 -4999.43
 199.5 -150.0     3.73 -5005.63
 202.0 -150.0     4.07 -5007.30
 209.5 -150.0     3.65 -5011.21
 212.0 -150.0     3.99 -5013.41
 219.5 -150.0     3.76 -5018.21
 222.0 -150.0     4.67 -5022.43
  14.5 -140.0     0.22 -4981.52
  17.0 -140.0     0.18 -4981.26
  24.5 -140.0     0.28 -4981.20
  27.0 -140.0     0.29 -4981.41
  34.5 -140.0     0.32 -4981.50
  37.0 -140.0     0.29 -4981.25
  44.5 -140.0     0.22 -4981.75
  47.0 -140.0     0.26 -4981.84
  59.5 -140.0     0.16 -4982.19
  64.5 -140.0     0.09 -4981.95
  79.5 -140.0    -0.10 -4982.57
  84.5 -140.0    -0.13 -4982.61
  99.5 -140.0    -0.21 -4983.26
 104.5 -140.0    -0.15 -4983.35
 119.5 -140.0     0.04 -4984.29
 124.5 -140.0     0.12 -4984.98
 139.5 -140.0     0.39 -4986.77
 144.5 -140.0     0.57 -4987.89
 159.5 -140.0     0.65 -4990.73
 164.5 -140.0     0.57 -4992.63
 179.5 -140.0     0.11 -4997.50
 184.5 -140.0     0.23 -4999.27
 199.5 -140.0    -1.14 -5005.07
 202.0 -140.0    -1.09 -5006.59
 209.5 -140.0    -2.27 -5010.19
 212.0 -140.0    -2.43 -5012.14
 219.5 -140.0    -4.56 -5016.69
 222.0 -140.0    -4.75 -5020.44
  14.5 -130.0     0.03 -4981.78
  17.0 -130.0     0.06 -4981.57
  24.5 -130.0     0.01 -4981.48
  27.0 -130.0     0.09 -4981.62
  34.5 -130.0    -0.01 -4981.69
  37.0 -130.0     0.02 -4981.45
  44.5 -130.0    -0.12 -4981.86
  47.0 -130.0    -0.02 -4981.97
  59.5 -130.0    -0.21 -4982.17
  64.5 -130.0    -0.22 -4982.04
  79.5 -130.0    -0.52 -4982.55
  84.5 -130.0    -0.52 -4982.70
  99.5 -130.0    -0.85 -4983.34
 104.5 -130.0    -0.79 -4983.57
 119.5 -130.0    -1.00 -4984.49
 124.5 -130.0    -0.96 -4985.28
 139.5 -130.0    -1.27 -4986.96
 144.5 -130.0    -1.17 -4988.13
 159.5 -130.0    -1.87 -4990.67
 164.5 -130.0    -2.05 -4992.52
 179.5 -130.0    -3.33 -4996.78
 184.5 -130.0    -3.38 -4998.60
 199.5 -130.0    -5.55 -5003.52
 202.0 -130.0    -5.53 -5005.02
 209.5 -130.0    -7.35 -5007.82
 212.0 -130.0    -7.56 -5009.52
 219.5 -130.0   -10.61 -5012.30
 222.0 -130.0   -11.12 -5015.13
  14.5 -120.0    -0.04 -4981.79
  17.0 -120.0    -0.09 -4981.70
  24.5 -120.0    -0.11 -4981.58
  27.0 -120.0    -0.10 -4981.67
  34.5 -120.0    -0.17 -4981.69
  37.0 -120.0    -0.19 -4981.54
  44.5 -120.0    -0.31 -4981.81
  47.0 -120.0    -0.31 -4981.81
  59.5 -120.0    -0.50 -4982.09
  64.5 -120.0    -0.62 -4982.02
  79.5 -120.0    -0.91 -4982.48
  84.5 -120.0    -1.01 -4982.62
  99.5 -120.0    -1.38 -4983.27
