       Tpc     E22A3    107.112 +/-    0.010     61.444 +/-    0.010      0.713 +/-    0.010 
       Tpc     E22A4    135.730 +/-    0.010     78.013 +/-    0.010      0.694 +/-    0.010 
       Tpc     E22A5    164.302 +/-    0.010     94.538 +/-    0.010      0.715 +/-    0.010 
       Tpc     E22B2     69.065 +/-    0.010     57.798 +/-    0.010      0.735 +/-    0.010 
       Tpc     E22B3     94.658 +/-    0.010     79.256 +/-    0.010      0.730 +/-    0.010 
       Tpc     E22B4    120.221 +/-    0.010    100.676 +/-    0.010      0.711 +/-    0.010 
       Tpc     E22B5    145.838 +/-    0.010    122.160 +/-    0.010      0.717 +/-    0.010 
       Tpc     E22C1     37.167 +/-    0.010     43.944 +/-    0.010      0.733 +/-    0.010 
       Tpc     E22C2     58.253 +/-    0.010     69.052 +/-    0.010      0.733 +/-    0.010 
       Tpc     E22C3     79.479 +/-    0.010     94.353 +/-    0.010      0.725 +/-    0.010 
       Tpc     E22C4    100.682 +/-    0.010    119.650 +/-    0.010      0.717 +/-    0.010 
       Tpc     E22C5    122.016 +/-    0.010    145.092 +/-    0.010      0.716 +/-    0.010 
       Tpc     E23A1     28.837 +/-    0.010     49.414 +/-    0.010      0.745 +/-    0.010 
       Tpc     E23A2     45.421 +/-    0.010     78.221 +/-    0.010      0.743 +/-    0.010 
       Tpc     E23A3     61.870 +/-    0.010    106.823 +/-    0.010      0.722 +/-    0.010 
       Tpc     E23A4     78.408 +/-    0.010    135.582 +/-    0.010      0.709 +/-    0.010 
       Tpc     E23A5     94.842 +/-    0.010    164.176 +/-    0.010      0.692 +/-    0.010 
       Tpc     E23B1     19.604 +/-    0.010     53.975 +/-    0.010      0.743 +/-    0.010 
       Tpc     E23B2     30.992 +/-    0.010     85.265 +/-    0.010      0.750 +/-    0.010 
       Tpc     E23B3     42.272 +/-    0.010    116.234 +/-    0.010      0.738 +/-    0.010 
       Tpc     E23B4     53.595 +/-    0.010    147.338 +/-    0.010      0.729 +/-    0.010 
       Tpc     E23B5     64.864 +/-    0.010    178.311 +/-    0.010      0.731 +/-    0.010 
