TpcWAO22004	xyz =   -2.603   -4.109  231.286 z =  231.2877 +/- 0.0055 (cm) beta =    0.4270 +/- 0.1906 (mrad) alpha =    0.2900 +/- 0.1992 (mrad) gamma -570.6103  chi2/ndf     0.32/  9
TpcWAOCTR2004	xyz =   -0.330   -0.167  231.265 z =  230.3940 +/- 2.4423 (cm) beta =  -589.3824 +/- 6579.1666 (mrad) alpha =  -4045.5038 +/- 1920.4893 (mrad) gamma -2672.7476  chi2/ndf     0.00/  0
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6906 +/- 0.0006 (cm) beta =    0.5758 +/- 0.0106 (mrad) alpha =    0.0221 +/- 0.0077 (mrad) gamma -416.8880  chi2/ndf   543.45/ 28
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6906 +/- 0.0006 (cm) beta =    0.5758 +/- 0.0106 (mrad) alpha =    0.0221 +/- 0.0077 (mrad) gamma -416.8880  chi2/ndf   543.45/ 28
TpcEAOCTR2004	xyz =   -0.108   -0.115 -231.683 z = -232.2082 +/- 0.0309 (cm) beta =  -3500.6602 +/- 271.7139 (mrad) alpha =  -1292.8439 +/- 367.5530 (mrad) gamma -2323.0533  chi2/ndf     0.00/  0
TpcWAOCTR2004	xyz =   -0.330   -0.167  231.265 z =  230.3940 +/- 2.4423 (cm) beta =  -589.3824 +/- 6579.1666 (mrad) alpha =  -4045.5038 +/- 1920.4893 (mrad) gamma -2672.7476  chi2/ndf     0.00/  0
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =    0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAO22003	xyz =    7.500   -6.615  231.275 z =  231.2726 +/- 0.0034 (cm) beta =    0.3448 +/- 0.0542 (mrad) alpha =    0.0945 +/- 0.0516 (mrad) gamma -479.7191  chi2/ndf    30.07/ 30
TpcWAO22003	xyz =    7.500   -6.615  231.275 z =  231.2726 +/- 0.0034 (cm) beta =   -0.3448 +/- 0.0542 (mrad) alpha =    0.0945 +/- 0.0516 (mrad) gamma -479.7191  chi2/ndf    30.07/ 30
TpcWAO22004	xyz =    7.508   -6.603  231.271 z =  231.2689 +/- 0.0034 (cm) beta =   -0.4478 +/- 0.0538 (mrad) alpha =    0.1850 +/- 0.0513 (mrad) gamma -481.0386  chi2/ndf    29.98/ 30
TpcWAOCTR2003	xyz =   -0.337   -0.178  231.269 z =  230.5471 +/- 2.4249 (cm) beta =  -55.5556 +/- 6223.2142 (mrad) alpha =  -4166.6667 +/- 2134.3747 (mrad) gamma -2656.4531  chi2/ndf     0.00/  0
TpcWAOCTR2004	xyz =   -0.330   -0.167  231.265 z =  230.3940 +/- 2.4423 (cm) beta =  589.3824 +/- 6579.1666 (mrad) alpha =  -4045.5038 +/- 1920.4893 (mrad) gamma -2672.7476  chi2/ndf     0.00/  0
TpcEAO132003	xyz =   -1.963    2.950 -231.682 z = -231.6889 +/- 0.0005 (cm) beta =   -0.4914 +/- 0.0115 (mrad) alpha =   -0.1084 +/- 0.0095 (mrad) gamma -418.1031  chi2/ndf   358.56/ 26
TpcEAOCTR2003	xyz =   -0.161   -0.168 -231.680 z = -232.4928 +/- 0.0336 (cm) beta =  3833.3333 +/- 210.2800 (mrad) alpha =  -1166.6667 +/- 254.2161 (mrad) gamma -2334.8809  chi2/ndf     0.00/  0
TpcEAOCTR2004	xyz =   -0.108   -0.115 -231.683 z = -232.2082 +/- 0.0309 (cm) beta =  3500.6602 +/- 271.7139 (mrad) alpha =  -1292.8439 +/- 367.5530 (mrad) gamma -2323.0533  chi2/ndf     0.00/  0
TpcEAO132003	xyz =   -1.963    2.950 -231.682 z = -231.6889 +/- 0.0005 (cm) beta =   -0.4914 +/- 0.0115 (mrad) alpha =   -0.1084 +/- 0.0095 (mrad) gamma -418.1031  chi2/ndf   358.56/ 26
TpcEAO132004	xyz =   -1.911    3.002 -231.685 z = -231.6906 +/- 0.0006 (cm) beta =   -0.5758 +/- 0.0106 (mrad) alpha =    0.0221 +/- 0.0077 (mrad) gamma -416.8880  chi2/ndf   543.45/ 28
TpcE13A12004	xyz =   14.075   11.245   -0.202 z =   -0.2076 +/- 0.0003 (cm) beta =   -0.5146 +/- 0.0038 (mrad) alpha =   -0.0293 +/- 0.0029 (mrad) gamma 337.2437  chi2/ndf   956.28/128
TpcW11B32004	xyz =   -1.269  -45.647   -0.137 z =   -0.1388 +/- 0.0003 (cm) beta =   -0.4412 +/- 0.0033 (mrad) alpha =   -0.0174 +/- 0.0024 (mrad) gamma -979.0360  chi2/ndf  3769.67/116
MagnetWCL12003	xyz =  -22.753  -91.739  362.674 z =  362.5657 +/- 0.0023 (cm) beta =   -0.0341 +/- 0.0062 (mrad) alpha =    0.7204 +/- 0.0105 (mrad) gamma -866.2993  chi2/ndf 17845.62/ 16
MagnetWCL12004	xyz =  -22.753  -91.739  362.674 z =  362.5661 +/- 0.0022 (cm) beta =   -0.0660 +/- 0.0061 (mrad) alpha =    0.7078 +/- 0.0103 (mrad) gamma -866.2994  chi2/ndf 18150.63/ 16
MagnetECL12003	xyz =    2.712 -163.698 -362.526 z = -362.5849 +/- 0.0537 (cm) beta =   -0.0743 +/- 0.1219 (mrad) alpha =   -0.3572 +/- 0.2712 (mrad) gamma -1555.4069  chi2/ndf     9.48/  8
MagnetECL12004	xyz =    0.771 -107.904 -362.771 z = -363.1267 +/- 0.0025 (cm) beta =    0.1401 +/- 0.0137 (mrad) alpha =    0.5915 +/- 0.0124 (mrad) gamma -1031.8490  chi2/ndf  1725.86/ 15
MagnetEF12004	xyz =    3.756 -107.568 -362.568 z = -362.5550 +/- 0.0647 (cm) beta =   -0.0676 +/- 0.1221 (mrad) alpha =    0.1188 +/- 0.5036 (mrad) gamma -1549.5596  chi2/ndf     0.07/  5
MagnetEF12003	xyz =    3.756 -107.567 -362.567 z = -362.5545 +/- 0.0647 (cm) beta =   -0.0678 +/- 0.1221 (mrad) alpha =    0.1228 +/- 0.5036 (mrad) gamma -1549.5599  chi2/ndf     0.07/  5
MagnetWF12003	xyz =  -48.246  -76.166  362.511 z =  362.4966 +/- 0.0026 (cm) beta =   -0.0547 +/- 0.0063 (mrad) alpha =   -0.1809 +/- 0.0187 (mrad) gamma -1131.6986  chi2/ndf    45.26/  6
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4972 +/- 0.0026 (cm) beta =   -0.0533 +/- 0.0062 (mrad) alpha =   -0.1738 +/- 0.0186 (mrad) gamma -1131.6986  chi2/ndf    44.12/  6
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4907 +/- 0.0030 (cm) beta =   -0.0370 +/- 0.0072 (mrad) alpha =   -0.2026 +/- 0.0197 (mrad) gamma -1131.6986  chi2/ndf    24.36/  5
MagnetWF12004	xyz =  -48.246  -76.166  362.511 z =  362.4907 +/- 0.0030 (cm) beta =   -0.0370 +/- 0.0072 (mrad) alpha =   -0.2026 +/- 0.0197 (mrad) gamma -1131.6986  chi2/ndf    24.36/  5
