#ZVView-data-copy:  17-Jun-2013 17:15:49
#=======================================
#
#name:   2-HE-3(N,P)1-H-3,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  61
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           0.4            0         0.87       0.0783  # 1955,R.Batchelor+        ## 21431002
         0.435            0         0.98            0  # 1959,J.H.Gibbons+        ## 11100002
         0.448            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
           0.5            0         0.86       0.0774  # 1955,R.Batchelor+        ## 21431002
         0.529      0.02116        0.762       0.2286  # 1950,J.H.Coon            ## 11038002
         0.529      0.02116        0.777       0.2331  # 1950,J.H.Coon            ## 11038002
          0.53            0         0.95            0  # 1959,J.H.Gibbons+        ## 11100002
         0.539      0.02156        0.869       0.2607  # 1950,J.H.Coon            ## 11038002
         0.564      0.02256        0.814       0.2442  # 1950,J.H.Coon            ## 11038002
         0.564            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
         0.576      0.01728        0.743       0.2229  # 1950,J.H.Coon            ## 11038002
           0.6            0         0.79        0.079  # 1955,R.Batchelor+        ## 21431002
         0.669            0        0.885            0  # 1959,J.H.Gibbons+        ## 11100002
          0.67            0         0.76       0.0836  # 1955,R.Batchelor+        ## 21431002
         0.685            0         0.86            0  # 1959,J.H.Gibbons+        ## 11100002
         0.785      0.02355        0.773       0.2319  # 1950,J.H.Coon            ## 11038002
         0.785      0.02355        0.761       0.2283  # 1950,J.H.Coon            ## 11038002
         0.785            0         0.91            0  # 1959,J.H.Gibbons+        ## 11100002
         0.791            0         0.96            0  # 1959,J.H.Gibbons+        ## 11100002
         0.793            0         0.89            0  # 1959,J.H.Gibbons+        ## 11100002
           0.8            0         0.73       0.0803  # 1955,R.Batchelor+        ## 21431002
         0.809            0         0.81            0  # 1959,J.H.Gibbons+        ## 11100002
         0.939            0          0.8            0  # 1959,J.H.Gibbons+        ## 11100002
         0.947            0        0.825            0  # 1959,J.H.Gibbons+        ## 11100002
          0.95        0.001         0.61       0.0793  # 1961,A.R.Sayres+         ## 11110003
         0.978            0        0.875            0  # 1959,J.H.Gibbons+        ## 11100002
             1            0         0.87       0.0783  # 1955,R.Batchelor+        ## 21431002
             1            0        0.884        0.029  # 1983,B.Haesner+          ## 21883007
         1.072            0          0.8            0  # 1959,J.H.Gibbons+        ## 11100002
          1.08            0        0.805            0  # 1959,J.H.Gibbons+        ## 11100002
         1.177            0        0.895            0  # 1959,J.H.Gibbons+        ## 11100002
           1.2            0         0.79        0.079  # 1955,R.Batchelor+        ## 21431002
          1.22       0.0244        0.754       0.2262  # 1950,J.H.Coon            ## 11038002
         1.239      0.02478        0.763       0.2289  # 1950,J.H.Coon            ## 11038002
         1.239      0.02478        0.748       0.2244  # 1950,J.H.Coon            ## 11038002
         1.385            0        0.915            0  # 1959,J.H.Gibbons+        ## 11100002
         1.597      0.01597        0.701       0.2103  # 1950,J.H.Coon            ## 11038002
         1.597      0.01597        0.758       0.2274  # 1950,J.H.Coon            ## 11038002
           1.6            0        0.923            0  # 1959,J.H.Gibbons+        ## 11100002
         1.822            0         0.91            0  # 1959,J.H.Gibbons+        ## 11100002
         1.826            0        0.935            0  # 1959,J.H.Gibbons+        ## 11100002
             2            0        0.839        0.028  # 1983,B.Haesner+          ## 21883007
         2.055            0          0.9            0  # 1959,J.H.Gibbons+        ## 11100002
         2.294            0        0.845            0  # 1959,J.H.Gibbons+        ## 11100002
           2.5        0.025        0.443       0.1329  # 1950,J.H.Coon            ## 11038002
           2.5        0.025         0.55        0.165  # 1950,J.H.Coon            ## 11038002
           2.5        0.025        0.501       0.1503  # 1950,J.H.Coon            ## 11038002
           2.5        0.025        0.554       0.1662  # 1950,J.H.Coon            ## 11038002
         2.541            0        0.795            0  # 1959,J.H.Gibbons+        ## 11100002
          2.67         0.01         0.73       0.0292  # 1961,A.R.Sayres+         ## 11110003
         2.798            0        0.735            0  # 1959,J.H.Gibbons+        ## 11100002
         2.801            0        0.714            0  # 1959,J.H.Gibbons+        ## 11100002
             3         0.12        0.556       0.1668  # 1950,J.H.Coon            ## 11038002
             3            0        0.642        0.022  # 1983,B.Haesner+          ## 21883007
         3.061            0         0.67            0  # 1959,J.H.Gibbons+        ## 11100002
         3.335            0        0.605            0  # 1959,J.H.Gibbons+        ## 11100002
         3.603            0        0.557            0  # 1959,J.H.Gibbons+        ## 11100002
         3.901            0        0.523            0  # 1959,J.H.Gibbons+        ## 11100002
         3.904            0        0.498            0  # 1959,J.H.Gibbons+        ## 11100002
             4            0        0.474        0.017  # 1983,B.Haesner+          ## 21883007
         4.197            0        0.478            0  # 1959,J.H.Gibbons+        ## 11100002
             5         0.01         0.34       0.0408  # 1961,A.R.Sayres+         ## 11110003
             5            0        0.372        0.013  # 1983,B.Haesner+          ## 21883007
             6            0        0.311        0.011  # 1983,B.Haesner+          ## 21883007
             7            0        0.254         0.01  # 1983,B.Haesner+          ## 21883007
          8.07         0.01         0.21       0.0294  # 1961,A.R.Sayres+         ## 11110003
             9            0        0.211        0.012  # 1983,B.Haesner+          ## 21883007
            10            0        0.195        0.011  # 1983,B.Haesner+          ## 21883007
            11            0        0.179         0.01  # 1983,B.Haesner+          ## 21883007
            12            0        0.164        0.009  # 1983,B.Haesner+          ## 21883007
            13            0        0.151        0.008  # 1983,B.Haesner+          ## 21883007
            14            0         0.14        0.008  # 1983,B.Haesner+          ## 21883007
          14.4            0       0.1422       0.0063  # 1967,B.Antolkovic+       ## 30044008
            15            0         0.13        0.007  # 1983,B.Haesner+          ## 21883007
            16            0        0.121        0.007  # 1983,B.Haesner+          ## 21883007
            17            0        0.113        0.006  # 1983,B.Haesner+          ## 21883007
            18            0        0.104        0.006  # 1983,B.Haesner+          ## 21883007
            19            0       0.0976        0.005  # 1983,B.Haesner+          ## 21883007
            20            0       0.0934        0.005  # 1983,B.Haesner+          ## 21883007
            21            0       0.0881        0.005  # 1983,B.Haesner+          ## 21883007
            22            0        0.083        0.005  # 1983,B.Haesner+          ## 21883007
            23            0       0.0775        0.004  # 1983,B.Haesner+          ## 21883007
            24            0       0.0718        0.004  # 1983,B.Haesner+          ## 21883007
            25            0       0.0694        0.004  # 1983,B.Haesner+          ## 21883007
            26            0       0.0625        0.004  # 1983,B.Haesner+          ## 21883007
            27            0       0.0613        0.004  # 1983,B.Haesner+          ## 21883007
            28            0       0.0576        0.004  # 1983,B.Haesner+          ## 21883007
            29            0       0.0539        0.004  # 1983,B.Haesner+          ## 21883007
            30            0       0.0482        0.005  # 1983,B.Haesner+          ## 21883007
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VII.0: HE-3(N,P)H-3
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  319
#data...
#            X            Y
#          MeV        barns
         1e-11       267415
    1.1024e-11       254693
   1.21504e-11       242600
   1.33946e-11       231058
   1.47633e-11       220087
    1.6275e-11       209617
   1.79381e-11       199663
   1.97749e-11       190164
   2.17956e-11       181135
   2.40274e-11       172517
   2.64826e-11       164326
   2.91943e-11       156508
   3.21775e-11       149077
   3.54723e-11       141985
    3.9097e-11       135243
   4.31005e-11       128809
   4.75046e-11       122693
    5.2369e-11       116856
   5.77202e-11       111307
   6.36306e-11       106012
   7.01326e-11       100978
   7.73139e-11        96174
   8.52142e-11      91607.4
   9.39398e-11      87249.2
   1.03539e-10      83106.4
   1.14141e-10      79152.6
   1.25804e-10      75394.3
   1.38686e-10      71807.5
   1.52858e-10      68397.8
    1.6851e-10      65143.8
   1.85729e-10      62050.6
   2.04747e-10      59098.6
   2.25669e-10      56292.4
   2.48777e-10      53614.3
   2.74198e-10      51068.6
   3.02275e-10        48639
   3.33162e-10      46329.5
   3.67277e-10      44125.4
   4.04807e-10      42030.2
   4.46258e-10      40030.6
   4.91858e-10      38129.9
   5.42223e-10      36315.9
   5.97629e-10      34591.5
   6.58824e-10      32945.8
   7.26145e-10      31381.4
   8.00501e-10      29888.5
