  116         .0116 9.848564E+00 9.788483E+00 9.786321E+00 9.786723E+00 9.786838E+00
  117         .0117 9.856658E+00 9.796238E+00 9.794074E+00 9.794480E+00 9.794597E+00
  118         .0118 9.864749E+00 9.803989E+00 9.801822E+00 9.802233E+00 9.802350E+00
  119         .0119 9.872838E+00 9.811737E+00 9.809566E+00 9.809982E+00 9.810100E+00
  120         .0120 9.880925E+00 9.819481E+00 9.817307E+00 9.817727E+00 9.817847E+00
  121         .0121 9.889010E+00 9.827222E+00 9.825045E+00 9.825470E+00 9.825591E+00
  122         .0122 9.897093E+00 9.834960E+00 9.832780E+00 9.833209E+00 9.833331E+00
  123         .0123 9.905174E+00 9.842696E+00 9.840512E+00 9.840947E+00 9.841070E+00
  124         .0124 9.913254E+00 9.850430E+00 9.848243E+00 9.848682E+00 9.848806E+00
  125         .0125 9.921331E+00 9.858162E+00 9.855971E+00 9.856416E+00 9.856541E+00
  126         .0126 9.929406E+00 9.865893E+00 9.863698E+00 9.864147E+00 9.864274E+00
  127         .0127 9.937480E+00 9.873621E+00 9.871423E+00 9.871877E+00 9.872005E+00
  128         .0128 9.945551E+00 9.881348E+00 9.879146E+00 9.879605E+00 9.879734E+00
  129         .0129 9.953621E+00 9.889073E+00 9.886868E+00 9.887331E+00 9.887461E+00
  130         .0130 9.961689E+00 9.896796E+00 9.894587E+00 9.895055E+00 9.895186E+00
  131         .0131 9.969755E+00 9.904517E+00 9.902305E+00 9.902778E+00 9.902910E+00
  132         .0132 9.977818E+00 9.912236E+00 9.910021E+00 9.910499E+00 9.910632E+00
  133         .0133 9.985878E+00 9.919954E+00 9.917735E+00 9.918218E+00 9.918352E+00
  134         .0134 9.993934E+00 9.927670E+00 9.925448E+00 9.925935E+00 9.926071E+00
  135         .0135 1.000199E+01 9.935385E+00 9.933159E+00 9.933651E+00 9.933787E+00
  136         .0136 1.001004E+01 9.943098E+00 9.940868E+00 9.941365E+00 9.941503E+00
  137         .0137 1.001808E+01 9.950809E+00 9.948576E+00 9.949078E+00 9.949216E+00
  138         .0138 1.002612E+01 9.958519E+00 9.956282E+00 9.956789E+00 9.956928E+00
  139         .0139 1.003416E+01 9.966227E+00 9.963987E+00 9.964498E+00 9.964639E+00
  140         .0140 1.004218E+01 9.973932E+00 9.971689E+00 9.972205E+00 9.972347E+00
  141         .0141 1.005021E+01 9.981635E+00 9.979389E+00 9.979909E+00 9.980052E+00
  142         .0142 1.005823E+01 9.989335E+00 9.987086E+00 9.987611E+00 9.987755E+00
  143         .0143 1.006624E+01 9.997032E+00 9.994780E+00 9.995310E+00 9.995455E+00
  144         .0144 1.007424E+01 1.000473E+01 1.000247E+01 1.000301E+01 1.000315E+01
  145         .0145 1.008224E+01 1.001242E+01 1.001016E+01 1.001070E+01 1.001084E+01
  146         .0146 1.009023E+01 1.002010E+01 1.001784E+01 1.001839E+01 1.001853E+01
  147         .0147 1.009821E+01 1.002778E+01 1.002552E+01 1.002607E+01 1.002622E+01
  148         .0148 1.010618E+01 1.003546E+01 1.003320E+01 1.003375E+01 1.003390E+01
  149         .0149 1.011414E+01 1.004314E+01 1.004087E+01 1.004142E+01 1.004158E+01
  150         .0150 1.012210E+01 1.005080E+01 1.004853E+01 1.004909E+01 1.004925E+01
  151         .0151 1.013004E+01 1.005847E+01 1.005619E+01 1.005676E+01 1.005691E+01
  152         .0152 1.013797E+01 1.006612E+01 1.006385E+01 1.006442E+01 1.006457E+01
  153         .0153 1.014590E+01 1.007377E+01 1.007150E+01 1.007207E+01 1.007223E+01
  154         .0154 1.015381E+01 1.008142E+01 1.007914E+01 1.007972E+01 1.007988E+01
  155         .0155 1.016171E+01 1.008906E+01 1.008678E+01 1.008736E+01 1.008752E+01
  156         .0156 1.016959E+01 1.009669E+01 1.009441E+01 1.009499E+01 1.009515E+01
  157         .0157 1.017747E+01 1.010431E+01 1.010203E+01 1.010262E+01 1.010278E+01
  158         .0158 1.018533E+01 1.011193E+01 1.010964E+01 1.011024E+01 1.011040E+01
  159         .0159 1.019318E+01 1.011953E+01 1.011725E+01 1.011785E+01 1.011801E+01
  160         .0160 1.020101E+01 1.012713E+01 1.012485E+01 1.012545E+01 1.012562E+01
  161         .0161 1.020883E+01 1.013472E+01 1.013244E+01 1.013305E+01 1.013321E+01
  162         .0162 1.021664E+01 1.014230E+01 1.014002E+01 1.014063E+01 1.014080E+01
  163         .0163 1.022443E+01 1.014988E+01 1.014759E+01 1.014821E+01 1.014837E+01
  164         .0164 1.023221E+01 1.015744E+01 1.015515E+01 1.015577E+01 1.015594E+01
  165         .0165 1.023997E+01 1.016499E+01 1.016270E+01 1.016333E+01 1.016350E+01
  166         .0166 1.024772E+01 1.017253E+01 1.017024E+01 1.017087E+01 1.017104E+01
  167         .0167 1.025545E+01 1.018006E+01 1.017777E+01 1.017841E+01 1.017858E+01
  168         .0168 1.026316E+01 1.018758E+01 1.018529E+01 1.018593E+01 1.018610E+01
  169         .0169 1.027086E+01 1.019509E+01 1.019280E+01 1.019344E+01 1.019361E+01
  170         .0170 1.027854E+01 1.020258E+01 1.020030E+01 1.020094E+01 1.020111E+01
  171         .0171 1.028620E+01 1.021006E+01 1.020778E+01 1.020843E+01 1.020860E+01
  172         .0172 1.029384E+01 1.021754E+01 1.021525E+01 1.021591E+01 1.021608E+01
  173         .0173 1.030147E+01 1.022499E+01 1.022271E+01 1.022337E+01 1.022354E+01
  174         .0174 1.030909E+01 1.023244E+01 1.023016E+01 1.023082E+01 1.023100E+01
  175         .0175 1.031669E+01 1.023987E+01 1.023759E+01 1.023826E+01 1.023843E+01
  176         .0176 1.032427E+01 1.024729E+01 1.024501E+01 1.024568E+01 1.024586E+01
  177         .0177 1.033184E+01 1.025469E+01 1.025242E+01 1.025309E+01 1.025327E+01
  178         .0178 1.033940E+01 1.026208E+01 1.025981E+01 1.026049E+01 1.026067E+01
  179         .0179 1.034695E+01 1.026946E+01 1.026719E+01 1.026787E+01 1.026805E+01
  180         .0180 1.035448E+01 1.027682E+01 1.027456E+01 1.027524E+01 1.027542E+01
  181         .0181 1.036201E+01 1.028417E+01 1.028191E+01 1.028259E+01 1.028277E+01
  182         .0182 1.036952E+01 1.029150E+01 1.028924E+01 1.028993E+01 1.029011E+01
  183         .0183 1.037702E+01 1.029882E+01 1.029656E+01 1.029725E+01 1.029743E+01
  184         .0184 1.038451E+01 1.030612E+01 1.030387E+01 1.030456E+01 1.030475E+01
  185         .0185 1.039199E+01 1.031341E+01 1.031116E+01 1.031186E+01 1.031204E+01
  186         .0186 1.039947E+01 1.032069E+01 1.031844E+01 1.031915E+01 1.031933E+01
  187         .0187 1.040693E+01 1.032796E+01 1.032571E+01 1.032642E+01 1.032660E+01
  188         .0188 1.041437E+01 1.033521E+01 1.033297E+01 1.033368E+01 1.033386E+01
