Run	Sanity	CTB	Sigfrac	FTPCin	FTPCHV		FTPCBum	Shiftlog
4047034	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4047035	Good	Good	Good 	Good 	Good	 	Good Good 	
4047037	Good	Good	Good 	Good 	Good	 	Good Good 	
4047039	Good	Good	Good 	Good 	Good	 	Good Good 	
4047040	Good	Good	Good 	Good 	Good	 	Good Good 	
4047043	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4047044	Good	Good	Good 	Good 	Good	 	Bad Good 	
4047045	Good	Good	Good 	Good 	Good	 	Bad Good 	
4047046	Good	Good	Good 	Good 	Good	 	Bad Good 	
4048002	Good	Good	Good 	Good 	Good	 	Bad Good 	
4048004	Good	Good	Good 	Good 	Good	 	Bad Good 	
4048005	Good	Good	Good 	Good 	Good	 	Bad Good 	
4048006	Good	Good	Good 	Good 	Good	 	Bad Good 	
4049010	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4049015	Good	Good	Good 	Good 	Good	 	Good Good 	
4049016	Good	Good	Good 	Good 	Good	 	Good Good 	
4049020	Good	Good	Good 	Good 	Good	 	Good Good 	
4049021	Good	Good	Good 	Good 	Good	 	Good Good 	
4049022	Good	Good	Good 	Good 	Good	 	Good Good 	
4049023	Good	Good	Good 	Good 	Good	 	Good Good 	
4049025	Good	Good	Good 	Good 	Good	 	Good Good 	
4049026	Good	Good	Good 	Good 	Good	 	Good Good 	
4049028	Good	Good	Good 	Good 	Good	 	Good Good 	
4049029	Good	Good	Good 	Good 	Good	 	Good Good 	
4049030	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054002	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4054003	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054010	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054012	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054013	Good	Good	Good 	Good 	Bad	 	Bad Good 	
**4054014	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054015	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054016	Good	Good	Good 	Good 	Bad	 	Bad Good 	
**4054021	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4054022	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054031	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4054033	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054037	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054038	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4054041	Good	Good	Good 	Good 	Bad	 	Bad Good 	
**4054042	Good	Good	Good 	Good 	CheckedByBum 	Bad Good 	
**4054056	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054057	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054058	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4054059	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054060	Good	Good	Good 	Good 	Good	 	Good Good 	
**4054073	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055002	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055005	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055006	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055007	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055008	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055009	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055010	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055014	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055015	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055016	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055017	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055018	Good	Good	Good 	Good 	Good	 	Good Good 	
**4055019	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055020	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055021	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055022	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4055023	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4056002	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4056004	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056013	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056014	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056015	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056016	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4056017	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056018	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4056019	Good	Good	Good 	Good 	Good	 	Good Good 	
**4056021	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
**4056033	Good	Good	Good 	Good 	Good	 	Bad Good 	
**4059013	Good	Good	Good 	Good 	Good	 	Good Good 	
**4059014	Good	Good	Good 	Good 	Good	 	Good Good 	
4060010	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060011	Good	Good	Good 	Good 	Good	 	Good Good 	
4060016	Good	Good	Good 	Good 	CheckedByBum 	Good Good 	
4060017	Good	Good	Good 	Good 	Good	 	Good Good 	
4060020	Good	Good	Good 	Good 	Good	 	Good Good 	
4060021	Good	Good	Good 	Good 	Good	 	Good Good 	
4060023	Good	Good	Good 	Good 	Good	 	Good Good 	
4060024	Good	Good	Good 	Good 	Good	 	Good Good 	
4060026	Good	Good	Good 	Good 	Good	 	Good Good 	
4060027	Good	Good	Good 	Good 	Good	 	Good Good 	
