// table produced by Bill Love 232/112/19994 
//  R3452_1_bight2.root  sector 14 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 14093 mean   -179.548 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  18,   1,   1,   1940,  233.458,  0.191,   0.0017,  0.0018,    2.384,  0.119, -197.481,  0.088,  -33.474,  0.230 },
{  18,   2,   1,    605,  246.678,  0.386,   0.0100,  0.0056,    2.192,  0.173, -197.362,  0.077,  -33.352,  0.331 },
{  18,   3,   1,    699,  253.573,  0.294,   0.0082,  0.0010,    2.675,  0.253, -197.514,  0.113,  -33.122,  0.189 },
{  18,   4,   1,   1758,  271.109,  0.225,   0.0183,  0.0014,    2.291,  0.161, -197.398,  0.004,  -33.238,  0.201 },
{  18,   5,   1,   1083,  289.733,  0.430,   0.0241,  0.0044,    1.853,  0.356, -197.541,  0.122,  -33.147,  0.320 },
{  18,   6,   1,    220,  294.685,  0.257,   0.0236,  0.0022,    2.744,  0.274, -197.166,  0.135,  -33.286,  0.218 },
{  18,   7,   1,   1624,  313.051,  0.447,   0.0269,  0.0015,    2.126,  0.123, -197.535,  0.114,  -33.427,  0.185 },
//     mean xls     2.2590 mean yls  -197.4667 mean zls   -33.3219 

//  R3452_1_bight2.root  sector 20 , invp cut at 0.2 
// zrange -185.0 to -175.0  n= 11185 mean   -179.519 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  20,   1,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
{  20,   2,   6,   1869,  305.375,  0.170,  -0.0093,  0.0012,  171.669,  0.059,  -95.916,  0.043, -179.544,  0.187 },
{  20,   3,   6,   1389,  316.420,  0.249,  -0.0003,  0.0019,  171.627,  0.109,  -95.954,  0.114, -179.324,  0.198 },
{  20,   4,   6,   2139,  330.525,  0.147,  -0.0064,  0.0031,  171.656,  0.138,  -95.921,  0.235, -179.549,  0.354 },
{  20,   5,   6,   1875,  344.219,  0.179,   0.0065,  0.0015,  171.663,  0.026,  -95.893,  0.087, -179.400,  0.176 },
{  20,   6,   6,   1898,   14.299,  0.310,   0.0107,  0.0006,  171.676,  0.038,  -96.017,  0.089, -179.550,  0.175 },
{  20,   7,   6,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls   171.6597 mean yls   -95.9391 mean zls  -179.4834 

// zrange -155.0 to -148.0  n= 9168 mean   -152.103 rms   59.656 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
