// table produced by Bill Love  7/ 1/2000 
//  R351027_1g.root  sector 14 , invp cut at 0.1 
// zrange -185.0 to -175.0  n= 3605 mean   -179.227 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
//     mean xls  -169.1206 mean yls  -100.3097 mean zls  -151.6314 

// zrange -125.0 to -115.0  n= 3565 mean   -120.393 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   4,    497,  163.169,  0.143,  -0.0175,  0.0002, -169.157,  0.013, -101.173,  0.043, -120.726,  0.165 },
{  16,   2,   4,    499,  191.046,  0.160,  -0.0184,  0.0004, -169.073,  0.016, -101.273,  0.080, -120.536,  0.167 },
{  16,   3,   4,    497,  199.841,  0.136,  -0.0125,  0.0008, -168.913,  0.043, -101.578,  0.109, -120.340,  0.171 },
{  16,   4,   4,    433,  210.477,  0.195,  -0.0146,  0.0010, -168.964,  0.055, -101.300,  0.088, -120.493,  0.175 },
{  16,   5,   4,    471,  226.820,  0.168,  -0.0073,  0.0004, -169.079,  0.070, -101.088,  0.063, -120.376,  0.167 },
{  16,   6,   4,    209,  253.712,  0.333,  -0.0021,  0.0012, -169.061,  0.091, -101.064,  0.026, -120.503,  0.177 },
{  16,   7,   4,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.0405 mean yls  -101.2663 mean zls  -120.4960 

// zrange  -97.0 to  -87.0  n= 4672 mean    -90.790 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   3,    469,  171.559,  0.116,   0.0124,  0.0010, -169.609,  0.016, -100.378,  0.070,  -90.855,  0.171 },
{  16,   2,   3,    494,  184.906,  0.159,   0.0130,  0.0003, -169.566,  0.008, -100.578,  0.077,  -90.649,  0.169 },
{  16,   3,   3,    277,  194.008,  0.199,   0.0127,  0.0026, -169.474,  0.112, -100.714,  0.428,  -90.605,  0.394 },
{  16,   4,   3,    527,  209.921,  0.166,   0.0092,  0.0010, -169.447,  0.166, -100.519,  0.286,  -90.700,  0.203 },
{  16,   5,   3,    460,  227.979,  0.215,   0.0093,  0.0005, -169.866,  0.157, -100.023,  0.147,  -90.574,  0.173 },
{  16,   6,   3,    407,  233.751,  0.328,   0.0113,  0.0020, -169.474,  0.212, -100.362,  0.153,  -90.551,  0.189 },
{  16,   7,   3,    496,  252.978,  0.122,   0.0034,  0.0005, -169.637,  0.062, -100.264,  0.021,  -90.745,  0.169 },
//     mean xls  -169.5877 mean yls  -100.3908 mean zls   -90.6760 

// zrange  -64.0 to  -58.0  n= 3707 mean    -59.761 rms   61.586 
//{sec, mir, zbd,  n,     psi,    +-,      tanl,   +-,    xl,      +- ,     yl,      +- ,     zl ,     +-   }, 
{  16,   1,   2,    351,  158.343,  0.575,   0.0525,  0.0041, -169.681,  0.055, -101.257,  0.144,  -60.079,  0.207 },
{  16,   2,   2,    500,  185.785,  0.187,   0.0701,  0.0002, -169.595,  0.006, -101.124,  0.065,  -59.614,  0.167 },
{  16,   3,   2,    500,  195.445,  0.138,   0.0669,  0.0002, -169.446,  0.030, -101.577,  0.097,  -59.531,  0.166 },
{  16,   4,   2,    567,  210.719,  0.196,   0.0651,  0.0010, -169.747,  0.321, -100.791,  0.580,  -59.638,  0.194 },
{  16,   5,   2,    500,  221.984,  0.161,   0.0603,  0.0002, -169.420,  0.078, -101.252,  0.084,  -59.489,  0.167 },
{  16,   6,   2,    398,  251.685,  0.314,   0.0365,  0.0005, -169.723,  0.072, -101.012,  0.024,  -59.578,  0.169 },
{  16,   7,   2,      0,    0.000,  0.000,   0.0000,  0.0000,    0.000,  0.000,    0.000,  0.000,    0.000,  0.000 },
//     mean xls  -169.5969 mean yls  -101.1608 mean zls   -59.6350 

// zrange  -38.0 to  -30.0  n= 3626 mean    -32.177 rms   61.586 
