6146020	20050526	92827	1647
6146021	20050526	95439	615
6146024	20050526	102329	1559
6146025	20050526	104953	1540
6147009	20050527	180154	18587
6147029	20050527	214952	1530
6147031	20050527	224428	41059
6148008	20050528	53325	1911
6148009	20050528	60048	511
6148010	20050528	61830	452
6148011	20050528	63032	997
6148012	20050528	64958	1734
6148013	20050528	71637	1612
6148014	20050528	74333	250
6148018	20050528	83452	494
6148019	20050528	84750	1846
6148020	20050528	91439	897
6148021	20050528	93353	37637
6148022	20050528	100013	33882
6148024	20050528	103500	20739
6148026	20050528	110047	50628
6148027	20050528	112725	40495
6148037	20050528	151722	12208
6148039	20050528	152927	1961
6148040	20050528	153055	52028
6148041	20050528	155244	21512
6148059	20050529	21204	1300
6148063	20050529	31623	1450
6148064	20050529	34256	1537
6149004	20050529	43804	871
6149007	20050529	53140	797
6149009	20050529	60047	16398
6149016	20050529	82352	1446
6149017	20050529	84906	888
6149019	20050529	91902	2266
6149020	20050529	94551	2335
6149021	20050529	101240	2390
6149024	20050529	105826	2023
6149025	20050529	112516	1943
6149029	20050529	121404	1970
6149030	20050529	123759	1729
6149031	20050529	130333	1532
6149032	20050529	132431	1295
6149036	20050529	143203	1075
6149050	20050529	220742	1023
6149055	20050529	233126	31100
6149056	20050529	234952	29502
6149057	20050530	805	25126
6150005	20050530	41459	690
6150016	20050530	83339	500
6150017	20050530	85048	268
6150018	20050530	90121	628
6150022	20050530	95834	1236
6150023	20050530	102513	477
6150024	20050530	104536	1095
6150025	20050530	111220	154
6150026	20050530	112148	880
6150027	20050530	114555	684
6150028	20050530	120943	948
6150029	20050530	123050	561
6150037	20050531	32047	1714
6150038	20050531	34509	1884
6151001	20050531	41204	1107
6151002	20050531	44331	1009
6151005	20050531	51621	605
6151008	20050531	55658	622
6151009	20050531	61616	739
6151011	20050531	65027	297
6151012	20050531	70047	734
6151014	20050531	75248	913
6151015	20050531	82141	524
6151017	20050531	85225	662
6151018	20050531	91904	277
6151020	20050531	93026	728
6151021	20050531	94726	1142
6151022	20050531	101428	1332
6151023	20050531	104103	1382
6151024	20050531	110927	534
6151026	20050531	112750	900
6151028	20050531	120043	714
6151029	20050531	122155	969
6151030	20050531	124256	10188
6155004	20050604	45037	25171
6155026	20050605	30941	8885
6155027	20050605	31408	37663
6155029	20050605	34633	40903
6156004	20050605	41303	761
6156010	20050605	50921	355
6156011	20050605	53512	329
6156012	20050605	54831	415
6156013	20050605	61335	742
6156014	20050605	64040	573
6156016	20050605	73545	366
6156019	20050605	80809	191
6156027	20050605	105038	965
6156028	20050605	111636	1347
6156029	20050605	114947	831
6156034	20050605	125507	357
6156036	20050605	131308	569
6157050	20050607	15126	2638
6158014	20050607	50224	2449
6158015	20050607	52748	2413
6158019	20050607	63421	1556
6158020	20050607	65708	1447
6158024	20050607	72905	31783
6158025	20050607	74236	2180
6158057	20050607	161953	3108
6158059	20050607	165039	3416
6158060	20050607	171750	992
6158061	20050607	172938	1093
6158062	20050607	175022	3088
6158063	20050607	181637	1111
6158076	20050607	222200	2051
6158077	20050607	224407	1504
6158081	20050607	231313	1442
6158084	20050607	233926	1261
6158085	20050607	235625	1510
6158086	20050608	1527	620
