   P10ep1.DAT, CH4    09:39:55   28-May-03 N2=64
  ASSM64.DAT   09:36:46   28-May-03 df/dE for CH4, N2=64                
   10.000   16.043   .00071576   .00066692 Z, A, rho                    
   8.6000  287.800  200.000   first E, K-shell & sbb                    
   64    8.6422   1.01089 1.08304E-02  N2, E(1), um, u                  
   ( SABRAr2.DAT   08:55:52   27-May-03 )                               
  18.00  39.9480  .001782  .001661 Z, A, rho                            
     10.600     248.50    1100.00 first E, L-shell & sbb                
   64   10.6312   1.01089 1.08304E-02  N2, E(2), um, u                  
     .000     .000     .050 df/dE coefficients                          
    J  E(J)[eV]     ep(2,J)      ep(1,J)      df/dE(J)
  121 3.17000E+01  2.62513E-04 -4.2363E-04  1.53468E-01
  122 3.20450E+01  2.46390E-04 -4.1814E-04  1.45621E-01
  123 3.23940E+01  2.29777E-04 -4.1113E-04  1.37271E-01
  124 3.27470E+01  2.13941E-04 -4.0274E-04  1.29207E-01
  125 3.31030E+01  1.99544E-04 -3.9397E-04  1.21819E-01
  126 3.34640E+01  1.85968E-04 -3.8545E-04  1.14768E-01
  127 3.38280E+01  1.72663E-04 -3.7699E-04  1.07714E-01
  128 3.41960E+01  1.59554E-04 -3.6821E-04  1.00621E-01
  129 3.45690E+01  1.46789E-04 -3.5896E-04  9.35851E-02
  130 3.49450E+01  1.34594E-04 -3.4928E-04  8.67425E-02
  131 3.53260E+01  1.23049E-04 -3.3922E-04  8.01684E-02
  132 3.57100E+01  1.12357E-04 -3.2897E-04  7.39992E-02
  133 3.60990E+01  1.02454E-04 -3.1868E-04  6.82101E-02
  134 3.64920E+01  9.32933E-05 -3.0846E-04  6.27863E-02
  135 3.68900E+01  8.47601E-05 -2.9834E-04  5.76660E-02
  136 3.72910E+01  7.68601E-05 -2.8831E-04  5.28598E-02
  137 3.76980E+01  6.96237E-05 -2.7839E-04  4.84050E-02
  138 3.81080E+01  6.30263E-05 -2.6877E-04  4.42949E-02
  139 3.85230E+01  5.68057E-05 -2.5931E-04  4.03583E-02
  140 3.89430E+01  5.11407E-05 -2.4998E-04  3.67304E-02
  141 3.93670E+01  4.60141E-05 -2.4094E-04  3.34074E-02
  142 3.97950E+01  4.11791E-05 -2.3207E-04  3.02223E-02
  143 4.02290E+01  3.68224E-05 -2.2326E-04  2.73194E-02
  144 4.06670E+01  3.30573E-05 -2.1468E-04  2.47930E-02
  145 4.11090E+01  2.97762E-05 -2.0644E-04  2.25752E-02
  146 4.15570E+01  2.68860E-05 -1.9849E-04  2.06060E-02
