# E [eV]	eps1	eps2	Im(-1/eps)
# Palik Vol.  I			
2.34	17.295432	0.357674	0.001195195
2.36	17.44452	0.442762	0.001454027
2.38	17.60328	0.469952	0.001515503
2.4	17.762625	0.5058	0.001601816
2.42	17.931625	0.5082	0.001579235
2.44	18.099841	0.61272	0.001868165
2.46	18.288373	0.564564	0.001686356
2.48	18.467475	0.627508	0.00183782
2.5	18.657071	0.63072	0.001809896
2.52	18.85572	0.668822	0.00187879
2.54	19.064448	0.689986	0.001895934
2.56	19.273992	0.728906	0.00195933
2.58	19.49222	0.830208	0.002181108
2.6	19.723264	0.79956	0.002052014
2.62	19.930756	1.07184	0.00269047
2.64	20.190625	1.0788	0.002638781
2.66	20.430528	1.211896	0.002893215
2.68	20.712648	1.192886	0.002771339
2.7	20.986989	1.19158	0.002696654
2.72	21.281064	1.20913	0.002661256
2.74	21.586215	1.236368	0.002644675
2.76	21.898923	1.395236	0.002897629
2.78	22.237323	1.405964	0.002831891
2.8	22.56444	1.549478	0.003028958
2.82	22.924781	1.62894	0.003083951
2.84	23.304336	1.78747	0.003272034
2.86	23.702159	1.80264	0.003190277
2.88	24.12942	1.907408	0.003255701
2.9	24.570312	2.014166	0.003314097
2.92	25.04556	2.113798	0.00334595
2.94	25.53138	2.306448	0.003509662
2.96	26.042345	2.493192	0.003642782
2.98	26.601871	2.63364	0.003685497
3	27.196923	2.809436	0.003758113
3.02	27.835975	3.075288	0.003921066
3.04	28.513832	3.348474	0.004062445
3.06	29.268159	3.56636	0.004102357
3.08	30.047024	3.90003	0.004248242
3.1	30.875131	4.31118	0.004436009
3.12	31.79466	4.704128	0.004553722
3.14	32.7856	5.238528	0.004752199
3.16	33.873939	5.90042	0.004990803
3.18	35.063983	6.673656	0.005238264
3.2	36.350944	7.63812	0.005535945
3.22	37.744429	8.83218	0.005877739
3.24	39.227631	10.29508	0.006259185
3.26	40.735279	12.19428	0.006744387
3.28	42.130125	14.6187	0.007351053
3.3	43.26564	17.725178	0.008108137
3.32	43.739472	21.444046	0.009036726
3.34	43.138341	25.54046	0.010162398
3.36	41.481055	29.481048	0.011383479
3.38	38.791089	32.88584	0.012715759
3.4	35.219459	35.28402	0.014196674
3.42	31.490703	36.346696	0.015715814
3.44	28.183597	36.314796	0.017185721
3.46	25.600707	35.635124	0.018509269
3.48	23.710613	34.696116	0.019646573
3.5	22.387904	33.81708	0.020559831
3.52	21.421224	33.07897	0.021298851
3.54	20.681243	32.532276	0.021891589
3.56	20.072433	32.125744	0.022387809
3.58	19.574607	31.834576	0.022794251
3.6	19.125447	31.638304	0.023148313
3.62	18.708096	31.51339	0.023463409
3.64	18.321312	31.459234	0.023736479
3.66	17.955175	31.442568	0.023983224
3.68	17.58652	31.477962	0.024211065
3.7	17.232972	31.534096	0.024419016
3.72	16.877715	31.615172	0.024615193
3.74	16.534616	31.74369	0.024779327
3.76	16.174641	31.87432	0.024948761
3.78	15.848525	32.038332	0.025076368
3.8	15.529101	32.23366	0.025179364
3.82	15.212183	32.443944	0.025267475
3.84	14.891036	32.67936	0.025339054
3.86	14.565216	32.93995	0.025393393
3.88	14.254341	33.23902	0.025411732
3.9	13.96454	33.567072	0.025395802
3.92	13.655148	33.941264	0.025358209
3.94	13.33204	34.351722	0.025299841
